# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	10282
#@/user_id	713eb3a7-a407-4821-ba6a-356b9c53ef46
a 	啊	c=44 d=2.14059 t=10094
fan xiang 	反向	c=2 d=1 t=8150
fan ying 	反應	c=1 d=1 t=9417
fan zheng 	反正	c=3 d=1 t=5171
fan zhi 	繁殖	c=1 d=1 t=7603
fang 	放	c=2 d=1.00131 t=4444
fang 	方	c=2 d=1.04036 t=5910
fang 	訪	c=1 d=1 t=9450
fang an 	方案	c=4 d=1.64404 t=7726
fang bian 	方便	c=5 d=1.00039 t=9554
fang cheng 	方程	c=2 d=1.00737 t=8271
fang fa 	方法	c=8 d=1.04572 t=9049
fang fu ji 	防腐劑	c=6 d=3.32715 t=7862
fang pi 	放屁	c=2 d=1 t=3240
fang qi 	放棄	c=1 d=1 t=2962
fang shi 	方式	c=3 d=1 t=8495
fang wen 	訪問	c=3 d=1 t=8490
fang xiang 	方向	c=3 d=1.00642 t=4864
fang xin 	放心	c=2 d=1.00025 t=3705
fang zhi 	防止	c=1 d=1 t=2278
fang zhou 	方舟	c=11 d=1.00003 t=10279
fei 	廢	c=2 d=1.99005 t=402
fei 	費	c=3 d=1.98511 t=8743
fei 	非	c=14 d=1.96549 t=9954
fei chang 	非常	c=3 d=1.00289 t=5357
fei chang duo 	非常多	c=1 d=1 t=6557
fei chang ka 	非常卡	c=1 d=1 t=2160
fei die 	飛碟	c=1 d=1 t=3533
fei fa 	非法	c=1 d=1 t=5576
fei ren 	非人	c=0 d=0.1 t=6007
fei ren zai 	非人哉	c=1 d=1 t=6008
fei tou 	非頭	c=1 d=1 t=9770
fen 	份	c=1 d=1 t=1585
fen 	分	c=8 d=1.50427 t=10146
fen 	粉	c=1 d=1 t=6531
fen bian lv 	分辨率	c=3 d=1 t=7013
fen bie 	分別	c=1 d=1 t=5296
fen fa 	分發	c=4 d=1.00002 t=7875
fen jie 	分解	c=1 d=1 t=7586
fen jie zhe 	分解者	c=1 d=1 t=7581
fen kai 	分開	c=1 d=1 t=1098
fen pei 	分配	c=3 d=1 t=8102
fen pi 	分批	c=1 d=1 t=9062
fen ping 	分屏	c=10 d=3.17031 t=2435
fen qi 	分期	c=2 d=1.9802 t=6421
fen qu 	分區	c=8 d=1.94176 t=9569
fen xi 	分析	c=1 d=1 t=4478
fen xiang 	分享	c=2 d=1.9802 t=5508
fen zhi 	分支	c=3 d=1.01308 t=4625
fen zhong 	分鐘	c=4 d=1.02975 t=9484
feng 	風	c=1 d=1 t=5333
feng ge 	風格	c=4 d=1.0001 t=5327
feng shen 	風神	c=0 d=0.1 t=2408
feng shen lu 	風神錄	c=2 d=1.52729 t=2537
feng xian 	風險	c=1 d=1 t=9145
fo le 	佛了	c=1 d=1 t=1490
fo li 	佛力	c=0 d=0.1 t=716
fu 	服	c=1 d=1 t=9106
fu 	父	c=5 d=3.544 t=9763
fu 	符	c=3 d=1.00779 t=4599
fu 	覆	c=1 d=1 t=5013
fu an 	福安	c=1 d=1 t=6099
fu bai 	腐敗	c=3 d=1.47877 t=7848
fu bi 	伏筆	c=1 d=1 t=9386
fu du 	復讀	c=1 d=1 t=2964
fu hao 	符號	c=3 d=1.68752 t=5643
fu he 	符合	c=1 d=1 t=1945
fu jian 	復健	c=1 d=1 t=5012
fu jian 	福建	c=1 d=1 t=6098
fu jin 	附近	c=1 d=1 t=5092
fu ka 	符卡	c=3 d=1.07654 t=6768
fu lei 	父類	c=3 d=2.62946 t=4451
fu mu 	父母	c=1 d=1 t=5192
fu shang 	附上	c=1 d=1 t=5458
fu tou 	斧頭	c=1 d=1 t=9406
fu wu 	服務	c=7 d=1.00001 t=5415
fu wu qi 	服務器	c=3 d=1.97531 t=9126
fu xi 	複習	c=2 d=1.96561 t=6311
fu za du 	複雜度	c=3 d=1.54931 t=4670
fu zhi 	賦值	c=4 d=2.95598 t=5042
gai 	改	c=6 d=1.00005 t=6017
gai 	該	c=3 d=1 t=6866
gai ban 	改版	c=2 d=1 t=6026
gai bian 	改變	c=1 d=1 t=9509
gai cheng 	改成	c=2 d=1.00001 t=7996
gai ge 	蓋革	c=1 d=1 t=6319
gai jin 	改進	c=2 d=1.98511 t=2493
gai kuo 	概括	c=1 d=1 t=1386
gai ming 	改名	c=2 d=1 t=9827
gai shu 	概述	c=1 d=1 t=1379
gai wei 	改爲	c=1 d=1 t=2716
gai zao 	改造	c=1 d=1 t=9490
gan 	干	c=1 d=1 t=7753
gan 	幹	c=4 d=1.56103 t=7126
gan cui 	乾脆	c=2 d=1.75201 t=4000
gan guo 	幹過	c=1 d=1 t=558
gan jin 	趕緊	c=6 d=1.01079 t=9266
gan jue 	感覺	c=32 d=3.21759 t=9516
gan ma 	幹嘛	c=1 d=1 t=8711
gan mao 	感冒	c=1 d=1 t=6635
gan sha 	幹啥	c=1 d=1 t=3322
gan tan 	感嘆	c=1 d=1 t=1733
gan xie 	感謝	c=3 d=1.82696 t=7306
gang gang 	剛剛	c=9 d=1.89899 t=9233
gang hao 	剛好	c=1 d=1 t=6172
gang hua 	鋼化	c=0 d=0.1 t=3374
gang hua mo 	鋼化膜	c=2 d=1.00031 t=4990
gang kai shi 	剛開始	c=2 d=1 t=7975
gao 	搞	c=10 d=1 t=8208
gao 	高	c=7 d=1 t=9449
gao da 	高達	c=1 d=1 t=2807
gao ding 	搞定	c=1 d=1.01782 t=8538
gao ding le 	搞定了	c=1 d=1 t=8194
gao gao 	搞搞	c=1 d=1 t=3377
gao ji 	高級	c=4 d=1.21239 t=8723
gao liang 	高亮	c=1 d=1 t=2027
gao neng 	高能	c=1 d=1 t=6480
gao qing 	高清	c=1 d=1 t=9362
gao wen 	高溫	c=3 d=2.66217 t=7719
gao xiao 	搞笑	c=2 d=1 t=10103
gao xiao 	高效	c=1 d=1 t=5705
gao zhong 	高中	c=2 d=1 t=6077
ge 	個	c=37 d=2.6133 t=9998
ge 	歌	c=1 d=1 t=9314
ge 	隔	c=1 d=1 t=2801
ge lei 	格雷	c=1 d=1 t=3515
ge ming 	革命	c=1 d=1 t=6294
ge qu 	歌曲	c=1 d=1 t=1923
ge ren 	個人	c=6 d=1 t=9849
ge shi 	格式	c=9 d=3.65862 t=10251
ge shou 	歌手	c=1 d=1 t=9393
ge zhong 	各種	c=2 d=1.0542 t=1225
gei 	給	c=8 d=1 t=9679
gei ni 	給你	c=3 d=1 t=7080
gei wo 	給我	c=3 d=1 t=9237
gen 	根	c=6 d=3.61127 t=4742
gen ben 	根本	c=1 d=1 t=8241
gen ju 	根據	c=4 d=1.00113 t=4881
geng 	更	c=5 d=1.27807 t=9553
geng 	梗	c=3 d=1 t=10123
geng gai 	更改	c=18 d=1.01829 t=6540
geng hao 	更好	c=1 d=1 t=9194
geng xin 	更新	c=13 d=1.4096 t=8504
gong 	宮	c=1 d=1 t=6928
gong chang 	工廠	c=1 d=1 t=10252
gong cheng 	工程	c=10 d=8.0616 t=6227
gong cun 	共存	c=1 d=1 t=955
gong gong 	公共	c=1 d=1 t=5472
gong hao 	功耗	c=3 d=1 t=5988
gong ju 	工具	c=6 d=1.00741 t=7930
gong ju xiang 	工具箱	c=1 d=1 t=8759
gong lv 	功率	c=1 d=1 t=6285
gong neng 	功能	c=8 d=1.03575 t=9691
gong shi 	公式	c=1 d=1 t=6674
gong wang 	公網	c=4 d=1 t=6938
gong wu 	公務	c=1 d=1 t=1373
gong xian zhe 	貢獻者	c=1 d=1 t=5464
gong yong 	共用	c=1 d=1 t=9361
gong you 	公有	c=1 d=1 t=4596
gong zhu 	公主	c=1 d=1 t=3238
gou 	勾	c=1 d=1 t=2992
gou 	夠	c=1 d=1 t=6048
gou bu gou 	夠不夠	c=1 d=1 t=4042
gou jian 	構建	c=1 d=1 t=1333
gou mai 	購買	c=1 d=1 t=1559
gou yong 	夠用	c=1 d=1 t=1019
gou zao 	構造	c=2 d=1 t=7735
gu 	古	c=1 d=1 t=9280
gu 	谷	c=1 d=1 t=958
gu ji 	估計	c=1 d=1 t=113
gu ming si yi 	顧名思義	c=1 d=1 t=2686
gu shi 	故事	c=2 d=1.75957 t=10045
gu shi 	股市	c=1 d=1 t=5907
gua 	掛	c=1 d=1 t=8700
gua 	瓜	c=1 d=1 t=8374
gua le 	掛了	c=1 d=1 t=8664
gua qi 	掛起	c=1 d=1 t=9409
gua zai 	掛載	c=13 d=2.76578 t=9571
guai 	怪	c=1 d=1 t=8023
guai bu de 	怪不得	c=1 d=1 t=364
guan 	官	c=3 d=1.00003 t=3583
guan 	管	c=4 d=1.00107 t=3185
guan 	關	c=4 d=1 t=8732
guan bi 	關閉	c=4 d=1 t=8624
guan cha zhe 	觀察者	c=1 d=1 t=2740
guan dao 	管道	c=1 d=1 t=8037
guan fang 	官方	c=3 d=1.01617 t=9429
guan gan 	觀感	c=1 d=1 t=10015
guan ji 	關機	c=1 d=1 t=583
guan li 	管理	c=8 d=1.00085 t=4358
guan li qi 	管理器	c=3 d=2.54985 t=2727
guan tou 	罐頭	c=11 d=4.20651 t=7895
guan wang 	官網	c=4 d=1 t=8598
guan wang 	觀望	c=1 d=1 t=9984
guan xi 	關係	c=1 d=1 t=2296
guan ying 	觀影	c=1 d=1 t=7273
guan yu 	關於	c=2 d=1 t=5801
guan zhuang 	罐裝	c=1 d=1 t=7800
guang 	光	c=2 d=1 t=6384
guang du 	廣度	c=1 d=1 t=8383
guang gao 	廣告	c=2 d=1.00002 t=3000
guang su 	光速	c=1 d=1 t=1014
guang xue 	光學	c=2 d=1.97045 t=6313
guang ying 	光影	c=1 d=1 t=7272
gui 	跪	c=1 d=1 t=56
gui 	鬼	c=4 d=1.00114 t=9405
gui dang 	歸檔	c=2 d=1 t=4909
gui fan 	規範	c=1 d=1 t=9861
gui le 	跪了	c=1 d=1 t=34
gui lv 	規律	c=1 d=1 t=7539
gui mie 	鬼滅	c=1 d=1 t=7919
guo 	國	c=1 d=1 t=9982
guo 	過	c=16 d=1.82321 t=8913
guo bu qu 	過不去	c=1 d=1 t=2906
guo cheng 	過程	c=1 d=1 t=70
guo du 	過度	c=1 d=1 t=7860
guo duo 	過多	c=2 d=1.79057 t=8613
guo ji 	國際	c=2 d=1.00235 t=7340
guo lai 	過來	c=1 d=1 t=6714
guo li 	國立	c=5 d=3.8488 t=6212
guo ran 	果然	c=1 d=1 t=4256
ha 	蛤	c=1 d=1 t=8294
ha xi biao 	哈希表	c=2 d=1.31822 t=9681
hai 	海	c=1 d=1 t=6094
hai 	還	c=33 d=1.24163 t=9884
hai cha 	還差	c=1 d=1 t=8844
hai dei 	還得	c=1 d=1 t=3761
hai gao 	還高	c=1 d=1 t=670
hai hao 	還好	c=1 d=1 t=3973
hai mao 	海貓	c=1 d=1 t=9977
hai mei 	還沒	c=2 d=1.00006 t=6021
hai neng 	還能	c=1 d=1 t=9038
hai pa 	害怕	c=2 d=1 t=9337
hai shi 	還是	c=21 d=1.05974 t=9855
hai wai 	海外	c=1 d=1 t=6052
hai xing 	還行	c=2 d=1 t=9531
hai yao 	還要	c=1 d=1 t=3896
hai yi wei 	還以爲	c=1 d=1 t=5180
hai you 	還有	c=7 d=1.0035 t=10157
hai zai 	還在	c=2 d=1 t=10272
han 	含	c=5 d=1.8311 t=9689
han chan 	寒蟬	c=20 d=1.43826 t=9973
han shu 	函數	c=19 d=1.00165 t=9846
han yi 	含義	c=1 d=1 t=5651
hang 	行	c=2 d=1.00006 t=5064
hao 	好	c=18 d=1.01768 t=10106
hao 	浩	c=2 d=1.0001 t=7907
hao 	耗	c=1 d=1 t=9053
hao 	號	c=5 d=1 t=10232
hao ba 	好吧	c=1 d=1 t=3261
hao bang 	好棒	c=1 d=1 t=9037
hao duo 	好多	c=1 d=1 t=4852
hao huai 	好壞	c=0 d=0.1 t=10003
hao huai can ban 	好壞參半	c=1 d=1 t=10004
hao ji ge 	好幾個	c=1 d=1 t=694
hao ji nian 	好幾年	c=2 d=1 t=10026
hao jiu 	好久	c=2 d=1.01925 t=2524
hao jiu bu jian 	好久不見	c=2 d=1 t=8792
hao kan 	好看	c=10 d=2.36269 t=10276
hao le 	好了	c=5 d=1 t=6979
hao ma fan 	好麻煩	c=1 d=1 t=361
hao nan 	好難	c=1 d=1 t=8091
hao ping 	好評	c=3 d=1.00005 t=8756
hao shuang 	好爽	c=1 d=1 t=4995
hao wan 	好玩	c=1 d=1 t=1741
hao xiang 	好像	c=6 d=1.95649 t=7961
hao xie 	好些	c=1 d=1 t=6783
hao yong 	好用	c=7 d=1.00059 t=10248
hao zhong 	好重	c=1 d=1 t=4460
he 	和	c=21 d=2.8388 t=10122
he 	盒	c=1 d=1 t=6340
he bing 	合併	c=4 d=1 t=8128
he ge 	合格	c=1 d=1 t=7819
he ji 	合集	c=2 d=1.99005 t=8340
he shi 	何時	c=1 d=1 t=4273
he xian 	核顯	c=1 d=1 t=2163
he zi 	盒子	c=1 d=1 t=1403
hei 	黑	c=2 d=1.00001 t=7261
hei bai 	黑白	c=0 d=0.1 t=6766
hei bai qi 	黑白棋	c=1 d=1 t=6767
hei ma 	黑馬	c=1 d=1 t=10129
hei ming dan 	黑名單	c=2 d=1 t=5904
hei ping 	黑屏	c=4 d=1.0094 t=9414
hei sha 	黑沙	c=1 d=1 t=7379
hen 	很	c=16 d=1.43043 t=9525
hen bu cuo 	很不錯	c=1 d=1 t=2113
hen duo 	很多	c=10 d=1.04291 t=10175
hen duo ci 	很多次	c=1 d=1 t=3347
hen duo ren 	很多人	c=1 d=1 t=2772
hen duo shi hou 	很多時候	c=1 d=1 t=6521
hen fang bian 	很方便	c=2 d=1 t=8690
hen gao 	很高	c=1 d=1 t=319
hen hao 	很好	c=5 d=1.0137 t=10059
hen hao kan 	很好看	c=3 d=1.48675 t=10130
hen jiu 	很久	c=1 d=1 t=7824
hen kuai 	很快	c=1 d=1 t=6976
hen nan 	很難	c=1 d=1 t=429
hen shao 	很少	c=1 d=1 t=10021
hen shuang 	很爽	c=4 d=1.0025 t=6899
hen xi huan 	很喜歡	c=1 d=1 t=10067
hen zhong yao 	很重要	c=2 d=1 t=9863
heng xiang 	橫向	c=1 d=1 t=2
hong 	宏	c=1 d=1 t=8057
hong 	紅	c=2 d=1 t=8234
hong guan 	宏觀	c=1 d=1 t=7587
hong mi 	紅米	c=1 d=1 t=2143
hong zi 	紅字	c=1 d=1 t=7378
hou 	吼	c=1 d=1 t=3681
hou 	後	c=30 d=2.98924 t=9750
hou 	猴	c=1 d=1 t=847
hou lai 	後來	c=2 d=1 t=7954
hou mian 	後面	c=2 d=1.99005 t=1402
hou tai 	後臺	c=3 d=1 t=9493
hou xu 	後序	c=1 d=1 t=9616
hou xu 	後續	c=1 d=1 t=5036
hu 	虎	c=1 d=1 t=4611
hu die 	蝴蝶	c=1 d=1 t=10142
hu huan 	互換	c=1 d=1 t=3193
hu lve 	忽略	c=3 d=1 t=5776
hu tong 	互通	c=1 d=1 t=1144
hu xiang 	互相	c=3 d=1.90484 t=8443
hua 	化	c=1 d=1 t=8149
hua 	花	c=4 d=1 t=9503
hua 	華	c=9 d=1 t=9501
hua 	話	c=2 d=1.00001 t=5195
hua feng 	畫風	c=3 d=1.00001 t=7191
hua mian 	畫面	c=1 d=1 t=7346
hua shuo 	話說	c=5 d=1.00018 t=8684
hua tu 	畫圖	c=1 d=1 t=8264
hua wei 	華爲	c=1 d=1 t=5942
huai 	壞	c=4 d=1 t=9156
huai jiu 	懷舊	c=1 d=1 t=3704
huan 	換	c=13 d=1.63889 t=9101
huan 	環	c=1 d=1 t=7788
huan bang 	換綁	c=1 d=1 t=6184
huan cun 	緩存	c=1 d=1 t=10208
huan hang 	換行	c=4 d=1 t=9972
huan jing 	環境	c=11 d=1.50662 t=7814
huan shi 	幻視	c=3 d=1.00024 t=7423
huan xing 	喚醒	c=1 d=1 t=9410
huang 	慌	c=1 d=1 t=2542
huang gua 	黃瓜	c=1 d=1 t=3947
huang mang 	慌忙	c=1 d=1 t=6858
hui 	回	c=2 d=1 t=5882
hui 	會	c=17 d=1.38826 t=9869
hui 	輝	c=3 d=1 t=9229
hui bei 	會被	c=1 d=1 t=7577
hui da 	回答	c=1 d=1 t=10267
hui guo 	回國	c=1 d=1 t=2157
hui kan 	回看	c=1 d=1 t=4702
hui keng 	回坑	c=1 d=1 t=549
hui lai 	回來	c=1 d=1 t=1633
hui tui 	回退	c=2 d=1.00004 t=5128
hui yuan 	會員	c=1 d=1 t=8825
hui zai 	會在	c=1 d=1 t=2464
hun 	魂	c=1 d=1 t=4981
hun xiang 	混響	c=1 d=1 t=5341
huo 	或	c=12 d=1.00062 t=9661
huo duo huo shao 	或多或少	c=1 d=1 t=7504
huo qu 	獲取	c=5 d=1.00078 t=9726
huo xing 	火星	c=1 d=1 t=8048
huo zhe 	或者	c=15 d=3.71736 t=10221
huo zhe shuo 	或者說	c=1 d=1 t=304
ji 	即	c=2 d=1 t=8038
ji 	及	c=2 d=1 t=8609
ji 	吉	c=1 d=1 t=3017
ji 	基	c=1 d=1 t=4879
ji 	季	c=2 d=1.81873 t=10082
ji 	急	c=2 d=1.00035 t=1682
ji 	機	c=5 d=1 t=8915
ji 	級	c=1 d=1 t=8840
ji 	計	c=1 d=1 t=6118
ji 	記	c=3 d=1.00003 t=5289
ji 	集	c=3 d=1.00664 t=10008
ji ba 	幾把	c=1 d=1 t=864
ji bai 	幾百	c=1 d=1.00023 t=8421
ji bai ci 	幾百次	c=1 d=1 t=7211
ji ben 	基本	c=5 d=1 t=9154
ji ben shang 	基本上	c=1 d=1 t=1313
ji chang 	極長	c=1 d=1 t=7532
ji cheng 	繼承	c=1 d=1 t=4964
ji chu 	基礎	c=5 d=1.92312 t=9833
ji ci 	幾次	c=2 d=1 t=9533
ji de 	記得	c=5 d=1.02805 t=10032
ji di 	基地	c=2 d=1.96561 t=5261
ji dong 	激動	c=1 d=1 t=3634
ji fen zhong 	幾分鐘	c=1 d=1 t=6516
ji gao 	極高	c=2 d=1.1549 t=9514
ji ge 	幾個	c=3 d=1.30947 t=3406
ji ge yue 	幾個月	c=2 d=1 t=8946
ji guang 	激光	c=3 d=2.92639 t=6280
ji hu 	幾乎	c=6 d=1.46695 t=7795
ji huo 	激活	c=2 d=1 t=5895
ji ke 	即可	c=3 d=1 t=7674
ji ke yi 	既可以	c=1 d=1 t=3434
ji lu 	記錄	c=6 d=1.00006 t=8347
ji neng 	技能	c=1 d=1 t=5301
ji qi 	及其	c=1 d=1 t=4789
ji qing 	激情	c=1 d=1 t=7304
ji ran 	既然	c=2 d=1.04528 t=3513
ji shi 	即使	c=2 d=1.80252 t=7508
ji shi 	即時	c=2 d=1.15107 t=1573
ji shi ge 	幾十個	c=1 d=1 t=9448
ji shi nian 	幾十年	c=1 d=1 t=309
ji shu 	技術	c=2 d=1.08416 t=3471
ji shu 	計數	c=1 d=1 t=4412
ji suan 	計算	c=1 d=1 t=4680
ji suan ji 	計算機	c=3 d=2.90248 t=6125
ji suan qi 	計算器	c=2 d=1 t=8039
ji xia 	幾下	c=1 d=1 t=9373
ji xian 	極限	c=1 d=1 t=6662
ji xiang 	機箱	c=1 d=1 t=1439
ji xiao shi 	幾小時	c=1 d=1 t=261
ji xie 	機械	c=3 d=1 t=6667
ji xu 	繼續	c=4 d=1.96561 t=7132
ji yi 	記憶	c=1 d=1 t=7197
ji yong 	即用	c=0 d=0.1 t=1338
ji yu 	基於	c=1 d=1 t=5524
ji zhi 	機制	c=3 d=1.4694 t=3512
ji zhun 	基準	c=1 d=1 t=2634
jia 	價	c=1 d=1 t=6442
jia 	加	c=10 d=1.04423 t=9061
jia 	夾	c=2 d=1 t=6575
jia bei 	加倍	c=1 d=1 t=2339
jia fa 	加法	c=2 d=1.00043 t=9779
jia ge 	價格	c=5 d=1.00001 t=9244
jia gong 	加工	c=1 d=1 t=7461
jia jian 	加減	c=1 d=1 t=5722
jia li 	家裏	c=1 d=1 t=2814
jia ru 	加入	c=4 d=1.81873 t=8508
jia shang 	加上	c=4 d=1 t=4844
jia shui 	加水	c=1 d=1 t=7784
jia su 	加速	c=2 d=1.9802 t=2331
jia wei 	價位	c=1 d=1 t=434
jia yi 	加一	c=2 d=1.93239 t=9701
jia you 	加油	c=1 d=1 t=762
jia zai 	加載	c=4 d=1 t=8693
jian 	剪	c=1 d=1 t=8455
jian 	撿	c=1 d=1 t=9192
jian 	減	c=1 d=1 t=5726
jian 	艦	c=2 d=1 t=9025
jian 	見	c=4 d=1.00001 t=4804
jian 	賤	c=1 d=1 t=2515
jian 	鍵	c=3 d=1.14299 t=4241
jian 	間	c=1 d=1 t=10013
jian ce 	檢測	c=11 d=1.06925 t=9048
jian cha 	檢查	c=2 d=1.3624 t=2508
jian cheng 	簡稱	c=2 d=1 t=5285
jian chi 	堅持	c=3 d=2.17774 t=7210
jian dan 	簡單	c=13 d=1.00013 t=10247
jian dao 	見到	c=1 d=1 t=9286
jian ge 	間隔	c=1 d=1 t=10046
jian jie 	簡潔	c=1 d=1 t=8278
jian ju 	間距	c=1 d=1 t=7097
jian jue 	堅決	c=1 d=1 t=7833
jian li 	簡歷	c=1 d=1 t=5369
jian mao 	鍵帽	c=2 d=1.0234 t=4994
jian pan 	鍵盤	c=9 d=1.9374 t=8076
jian qie 	剪切	c=1 d=1 t=8775
jian qie ban 	剪切板	c=4 d=1.41567 t=1484
jian qu 	減去	c=1 d=1 t=4989
jian rong 	兼容	c=4 d=1.81898 t=4956
jian shao 	減少	c=1 d=1 t=7844
jian xie 	簡寫	c=1 d=1 t=1012
jian xie 	間歇	c=1 d=1 t=9426
jian yi 	建議	c=9 d=1.9465 t=9250
jian yi 	簡易	c=4 d=1.05195 t=5878
jian zhi 	簡直	c=2 d=1.00029 t=2824
jiang 	將	c=36 d=1.00218 t=9733
jiang 	講	c=3 d=1 t=9996
jiang 	降	c=0 d=0.1 t=7518
jiang di 	降低	c=1 d=1 t=1667
jiang jiu 	講究	c=1 d=1 t=338
jiang wei da ji 	降維打擊	c=1 d=1 t=7519
jiao 	交	c=3 d=1.98511 t=8741
jiao 	叫	c=10 d=1.12571 t=6484
jiao 	角	c=1 d=1 t=6181
jiao ben 	腳本	c=5 d=2.74566 t=5693
jiao cheng 	教程	c=5 d=1.00005 t=7931
jiao dian 	交點	c=1 d=1 t=7295
jiao hu 	交互	c=1 d=1 t=2284
jiao huan 	交換	c=1 d=1 t=9806
jiao jin 	較近	c=1 d=1 t=5255
jiao jiu 	較久	c=1 d=1 t=4902
jiao mie 	剿滅	c=2 d=1.956 t=6025
jiao tong 	交通	c=5 d=3.8058 t=6225
jiao wo 	叫我	c=1 d=1 t=5866
jiao xue 	教學	c=1 d=1 t=739
jiao yi 	交易	c=1 d=1 t=8318
jiao yuan 	較遠	c=1 d=1 t=5262
jie 	傑	c=1 d=1 t=8744
jie 	接	c=3 d=1 t=6774
jie 	皆	c=1 d=1 t=168
jie 	節	c=2 d=0.1 t=10005
jie 	解	c=1 d=1 t=7077
jie chu 	解除	c=3 d=1.10642 t=1120
jie dian 	節點	c=41 d=6.83293 t=9913
jie gou 	結構	c=7 d=1.00142 t=9814
jie guan 	接管	c=1 d=1 t=2708
jie guo 	結果	c=11 d=1.1792 t=5169
jie jie 	姐姐	c=1 d=1 t=2789
jie ju 	結局	c=4 d=1.00023 t=5211
jie jue 	解決	c=13 d=1.05542 t=9065
jie jue fang an 	解決方案	c=1 d=1 t=7662
jie mi 	解謎	c=3 d=2.15232 t=9089
jie mian 	界面	c=1 d=1 t=6551
jie ru 	接入	c=1 d=1 t=2510
jie shou 	接受	c=2 d=1 t=5898
jie shu 	結束	c=4 d=1.00005 t=7278
jie ya 	解壓	c=2 d=1.00083 t=1651
jie yu 	結語	c=1 d=1 t=7826
jie zou 	節奏	c=4 d=3.11719 t=10105
jin 	僅	c=2 d=1.01545 t=5045
jin 	進	c=2 d=1 t=9418
jin 	金	c=1 d=1 t=7418
jin bu liao 	進不了	c=1 d=1 t=940
jin cheng 	進程	c=14 d=8.44258 t=2690
jin du tiao 	進度條	c=3 d=2.70701 t=6537
jin gong 	僅供	c=1 d=1 t=7887
jin ji 	緊急	c=1 d=1 t=4093
jin ke neng 	儘可能	c=2 d=1.6942 t=4394
jin nian 	今年	c=1 d=1 t=3683
jin qu 	進去	c=1 d=1 t=230
jin ru 	進入	c=6 d=1 t=7331
jin shen 	謹慎	c=1 d=1 t=155
jin tian 	今天	c=3 d=1.85192 t=6237
jin wei 	進位	c=14 d=3.82766 t=9704
jin xian 	僅限	c=1 d=1 t=6179
jin xing 	進行	c=14 d=1.98524 t=10014
jin xing zhe 	進行着	c=1 d=1 t=6830
jin yong 	禁用	c=3 d=1.00001 t=8288
jin zhi 	禁止	c=14 d=2.88815 t=6852
jin zhi shi xiang 	禁止事項	c=4 d=2.18057 t=7043
jing 	鏡	c=1 d=1 t=6454
jing cai 	精彩	c=2 d=1.80654 t=7309
jing chang 	經常	c=6 d=1 t=8835
jing du 	經度	c=1 d=1 t=7967
jing gao 	警告	c=3 d=1.16948 t=9870
jing guo 	經過	c=2 d=1 t=5451
jing ji 	經濟	c=6 d=1.9802 t=9263
jing jian 	精簡	c=2 d=1.97531 t=1893
jing le 	驚了	c=3 d=1.02931 t=8746
jing ling 	精靈	c=1 d=1 t=3488
jing tai 	靜態	c=1 d=1 t=5441
jing yan 	經驗	c=1 d=1 t=8845
jing zhun 	精準	c=1 d=1 t=7300
jiong 	囧	c=1 d=1 t=4627
jiu 	就	c=72 d=3.45667 t=10262
jiu 	救	c=1 d=1 t=573
jiu 	舊	c=3 d=1 t=9737
jiu hui 	就會	c=1 d=1 t=4192
jiu jie 	糾結	c=1 d=1 t=7946
jiu shi 	就是	c=29 d=2.10994 t=10164
jiu suan 	就算	c=1 d=1 t=8861
jiu yuan 	救援	c=1 d=1 t=4094
ju 	局	c=1 d=1 t=1349
ju chang 	劇場	c=1 d=1 t=6898
ju chang ban 	劇場版	c=1 d=1 t=7915
ju hua 	菊花	c=2 d=1.99005 t=4246
ju jiao 	聚焦	c=1 d=1 t=2386
ju li 	距離	c=1 d=1 t=4664
ju qing 	劇情	c=2 d=1 t=10031
ju ran 	居然	c=4 d=1.00002 t=8790
ju ti 	具體	c=3 d=1.00014 t=10269
ju tou 	劇透	c=1 d=1 t=9512
jue 	絕	c=1 d=1 t=1128
jue de 	覺得	c=2 d=1.14086 t=5709
jue ding 	決定	c=2 d=1 t=6373
jue dui 	絕對	c=3 d=1.00831 t=9808
jue dui zhi 	絕對值	c=1 d=1 t=4681
ka 	卡	c=7 d=1.02387 t=9181
ka 	咔	c=1 d=1 t=2086
ka si 	卡死	c=2 d=1.00095 t=2521
kai 	開	c=13 d=1.49497 t=7145
kai bu 	開補	c=1 d=1 t=7359
kai fa 	開發	c=1 d=1 t=877
kai fa zhe 	開發者	c=1 d=1 t=7929
kai fang 	開放	c=5 d=4.65509 t=5422
kai feng 	開封	c=2 d=1.86936 t=7810
kai guan 	開關	c=1 d=1 t=2419
kai ji 	開機	c=16 d=2.9688 t=9422
kai qi 	開啓	c=7 d=1.19593 t=8796
kai shi 	開始	c=8 d=1.00767 t=6389
kai tou 	開頭	c=1 d=1 t=9696
kai xiang 	開箱	c=1 d=1 t=6450
kai xiang ji yong 	開箱即用	c=1 d=1 t=1339
kai yuan 	開源	c=5 d=1 t=8522
kan 	看	c=44 d=2.11383 t=10162
kan bu dao 	看不到	c=2 d=1.00454 t=10171
kan bu dong 	看不懂	c=1 d=1 t=6868
kan dao 	看到	c=8 d=1.67714 t=10256
kan dao le 	看到了	c=1 d=1 t=1511
kan de 	看得	c=1 d=1 t=9028
kan fan 	看番	c=3 d=1 t=6874
kan guo 	看過	c=2 d=1 t=6385
